[18:34:36] [main/INFO]: ModLauncher running: args [--username, Ventus, --version, Mod v5, --gameDir, F:\.minecraft\versions\Mod v5, --assetsDir, F:\.minecraft\assets, --assetIndex, 5, --uuid, cf49c120695f4ff2a107a59f319bc7f9, --accessToken, ????????, --clientId, null, --xuid, null, --userType, mojang, --versionType, modified, --width, 1920, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.10, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:34:36] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[18:34:43] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:34:43] [main/INFO]: Trying GL version 4.6
[18:34:44] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:34:44] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/F:/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[18:34:44] [pool-2-thread-1/INFO]: GL info: Intel(R) Arc(TM) B580 Graphics GL version 4.6.0 - Build 32.0.101.8425, Intel
[18:34:45] [main/INFO]: Found mod file accessories-neoforge-1.0.0-beta.48+1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.20.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file adastradelight-1.1.2-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file addonslib-1.20.1-1.7.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file aether-1.20.1-1.5.2-neoforge.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file aether_delight_1.0.0_forge_1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alexsartifacts-1.0.2.2-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alexscaves-2.0.2.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alexscavesdelight-1.0.27-final.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alexsdelight-1.5.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file alternate_current-mc1.20-1.7.0.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.8.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file apotheosisartifacts-1.0.1.2-1.20.1-beta.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.7.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file aquaculturedelight-1.1.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.7-all.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file arsnouveauartifacts-1.0.2.2-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file artifacts-forge-9.5.16.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file artifactscrafting-1.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file artifactsdelight-1.0.2.2-1.20.1.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
[18:34:45] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.38-all.jar of type MOD with provider {mods folder locator at F:\.minecraft\versions\Mod v5\mods}
